Date,Open,High,Low,Close,Adj Close,Volume
2023-06-23,3236.000000,3247.000000,3209.000000,3217.449951,3209.107422,169294
2023-06-26,3202.000000,3210.250000,3172.449951,3189.899902,3181.628662,115935
2023-06-27,3200.000000,3209.699951,3183.000000,3196.600098,3188.311523,66914
2023-06-28,3203.050049,3231.000000,3193.199951,3214.750000,3206.414307,46412
2023-06-30,3215.000000,3309.600098,3215.000000,3300.500000,3291.942139,128775
2023-07-03,null,null,null,null,null,null
2023-07-04,null,null,null,null,null,null
2023-07-05,null,null,null,null,null,null
2023-07-06,null,null,null,null,null,null
2023-07-07,3300.850098,3356.399902,3300.850098,3325.699951,3317.076660,60304
2023-07-10,3326.100098,3326.100098,3265.000000,3272.300049,3263.815186,37435
2023-07-11,null,null,null,null,null,null
2023-07-12,null,null,null,null,null,null
2023-07-13,null,null,null,null,null,null
2023-07-14,3360.300049,3524.000000,3352.050049,3512.000000,3502.893555,392060
2023-07-17,3512.000000,3549.000000,3477.500000,3491.949951,3482.895508,76509
2023-07-18,null,null,null,null,null,null
2023-07-19,3495.050049,3516.000000,3446.199951,3471.000000,3462.000000,94660
2023-07-20,3457.000000,3478.500000,3436.000000,3462.350098,3462.350098,72310
2023-07-21,3423.949951,3435.000000,3357.699951,3369.600098,3369.600098,88718
2023-07-24,3374.000000,3413.399902,3371.000000,3394.199951,3394.199951,71143
2023-07-25,null,null,null,null,null,null
2023-07-26,3385.050049,3421.750000,3384.899902,3387.000000,3387.000000,21902
2023-07-27,null,null,null,null,null,null
2023-07-28,3389.850098,3389.850098,3331.000000,3355.350098,3355.350098,97335
2023-07-31,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-08-02,null,null,null,null,null,null
2023-08-03,3425.000000,3432.699951,3367.300049,3399.699951,3399.699951,89034
2023-08-04,3391.100098,3470.149902,3391.100098,3442.300049,3442.300049,73311
2023-08-07,3443.000000,3487.750000,3442.000000,3483.750000,3483.750000,48564
2023-08-08,3483.850098,3487.500000,3457.100098,3469.850098,3469.850098,81770
2023-08-09,3469.000000,3469.000000,3425.000000,3464.000000,3464.000000,53047
2023-08-10,3444.050049,3455.000000,3431.000000,3443.449951,3443.449951,85997
2023-08-11,3440.000000,3466.399902,3415.000000,3449.350098,3449.350098,121004
2023-08-14,3425.050049,3454.500000,3410.300049,3449.850098,3449.850098,88531
2023-08-16,3455.000000,3465.050049,3434.000000,3457.550049,3457.550049,38718
2023-08-17,3457.550049,3461.000000,3414.000000,3441.350098,3441.350098,62318
2023-08-18,3411.300049,3412.500000,3350.000000,3367.649902,3367.649902,584952
2023-08-21,3367.000000,3409.000000,3366.949951,3401.750000,3401.750000,62020
2023-08-22,3401.750000,3410.000000,3366.000000,3383.250000,3383.250000,69816
2023-08-23,3383.300049,3401.899902,3375.899902,3399.449951,3399.449951,130854
2023-08-24,3405.000000,3413.550049,3378.350098,3388.800049,3388.800049,101202
2023-08-25,3375.000000,3385.000000,3350.000000,3380.600098,3380.600098,155554
